Programas,Empreendimentos,Latitude,Longitude,Nr_Contrato,Status,Tipo_Contrato_Dash
DRENAGEM,Praça de Retenção e Infiltração na Av. Nove de Julho - Bacia do Córrego Anhangabaú,"-23,566595","-46,658709",033/SPOBRAS/2025,Andamento,Projetos - Serviços
ESCOLAS,CEI - Içami Tiba,"-23,567248","-46,638273",013/SPOBRAS/2022,Concluído,Obras
ESCOLAS,CEI - Içami Tiba,"-23,567248","-46,638273",110/SPOBRAS/2023,Concluído,Obras
ESCOLAS,CEI - Ver. José de Moura,"-23,555604","-46,614285",013/SPOBRAS/2022,Concluído,Obras
ESCOLAS,CEI - Ver. José de Moura,"-23,555604","-46,614285",110/SPOBRAS/2023,Concluído,Obras
ESCOLAS,CEI - Wilson José Abdalla,"-23,518573","-46,650243",008/SPOBRAS/2022,Concluído,Obras
ESCOLAS,CEI - Wilson José Abdalla,"-23,518573","-46,650243",077/SPOBRAS/2023,Concluído,Obras
ESCOLAS,CEI Direta 13 De Maio,"-23,564273","-46,645060",007/SPOBRAS/2023,Andamento,Obras
ESCOLAS,CEI Direta Silvia Covas,"-23,573211","-46,618297",022/SPOBRAS/2023,Andamento,Obras
ESCOLAS,CEI IND - Dandara dos Palmares (Antiga CEI - Ponte Pequena),"-23,520647","-46,631951",008/SPOBRAS/2022,Concluído,Obras
ESCOLAS,CEI IND - Dandara dos Palmares (Antiga CEI - Ponte Pequena),"-23,520647","-46,631951",077/SPOBRAS/2023,Concluído,Obras
ESCOLAS,CEI IND - Fernanda,"-23,562014","-46,642194",013/SPOBRAS/2022,Concluído,Obras
ESCOLAS,CEI IND - Fernanda,"-23,562014","-46,642194",110/SPOBRAS/2023,Concluído,Obras
ESCOLAS,CEI IND - Raphaela Capellano Dias,"-23,524007","-46,656396",008/SPOBRAS/2022,Concluído,Obras
ESCOLAS,CEI IND - Raphaela Capellano Dias,"-23,524007","-46,656396",077/SPOBRAS/2023,Concluído,Obras
ESCOLAS,CEI IND - Sonho de Criança,"-23,521006","-46,639779",008/SPOBRAS/2022,Concluído,Obras
ESCOLAS,CEI IND - Sonho de Criança,"-23,521006","-46,639779",077/SPOBRAS/2023,Concluído,Obras
ESCOLAS,CIEJA - Paulo Emilio Vanzolini - Cambuci,"-23,560039","-46,624411",231/SPOBRAS/2023,Andamento,Obras
ESCOLAS,EMEBS - Helen Keller,"-23,575983","-46,629579",013/SPOBRAS/2022,Concluído,Obras
ESCOLAS,EMEF - Celso Leite Ribeiro Filho,"-23,557223","-46,641736",080/SIURB/2021,Concluído,Obras
ESCOLAS,"EMEF - Faria Lima, Brig.","-23,576756","-46,629660",013/SPOBRAS/2022,Concluído,Obras
ESCOLAS,"EMEF - Faria Lima, Brig.","-23,576756","-46,629660",080/SIURB/2021,Concluído,Obras
ESCOLAS,EMEI - Alberto de Oliveira,"-23,557617","-46,624409",013/SPOBRAS/2022,Concluído,Obras
ESCOLAS,EMEI - Alceu Maynard de Araújo,"-23,519109","-46,649810",008/SPOBRAS/2022,Concluído,Obras
ESCOLAS,EMEI - Angelo Martino,"-23,556819","-46,641685",013/SPOBRAS/2022,Concluído,Obras
ESCOLAS,EMEI - Antônio Figueiredo do Amaral,"-23,524049","-46,656095",008/SPOBRAS/2022,Concluído,Obras
ESCOLAS,EMEI - Antônio Figueiredo do Amaral,"-23,524049","-46,656095",025/SPOBRAS/2024,Andamento,Obras
ESCOLAS,EMEI - Armando de Arruda Pereira,"-23,542812","-46,643024",008/SPOBRAS/2022,Concluído,Obras
ESCOLAS,"EMEI - Feijó, Reg.","-23,569725","-46,623384",006/SPOBRAS/2022,Concluído,Obras
ESCOLAS,"EMEI - Feijó, Reg.","-23,569725","-46,623384",080/SIURB/2021,Concluído,Obras
ESCOLAS,EMEI - João Theodoro,"-23,532310","-46,635156",008/SPOBRAS/2022,Concluído,Obras
ESCOLAS,EMEI - João Theodoro,"-23,532310","-46,635156",080/SIURB/2021,Concluído,Obras
ESCOLAS,EMEI - Patrícia Galvão,"-23,548998","-46,647169",008/SPOBRAS/2022,Concluído,Obras
ESCOLAS,EMEI - R. Glicério - Setor Educacional 4901,"-23,557770","-46,630385",012/SPOBRAS/2023,Concluído,Projetos - Serviços
ESCOLAS,EMEI Gabriel Prestes,"-23,548392","-46,651021",022/SPOBRAS/2023,Andamento,Obras
ESCOLAS,Gerenciamento - Programa Educação,"-23,547776","-46,634216",013/SPOBRAS/2023,Concluído,Projetos - Serviços
ESCOLAS,Gerenciamento - Programa Educação,"-23,547776","-46,634216",059/SPOBRAS/2023,Concluído,Projetos - Serviços
ESCOLAS,Gerenciamento - Programa Educação,"-23,547776","-46,634216",061/SPOBRAS/2022,Andamento,Projetos - Serviços
ESCOLAS,Gerenciamento - Programa Educação,"-23,547776","-46,634216",095/SPOBRAS/2024,Iniciar,Projetos - Serviços
ESCOLAS,Gerenciamento - Programa Educação,"-23,547776","-46,634216",096/SPOBRAS/2024,Andamento,Projetos - Serviços
ESCOLAS,Gerenciamento - Programa Educação,"-23,547776","-46,634216",097/SPOBRAS/2024,Andamento,Projetos - Serviços
ESCOLAS,Gerenciamento - Programa Educação,"-23,547776","-46,634216",277/SPOBRAS/2023,Concluído,Projetos - Serviços
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Gerenciamento - OAEs,"-23,547531","-46,634217",267/SPOBRAS/2023,Andamento,Projetos - Serviços
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Gerenciamento - OAEs,"-23,547531","-46,634217",268/SPOBRAS/2023,Andamento,Projetos - Serviços
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Pagssagem Subterrânea Noite Ilustrada (Paulista - Major Natanael),"-23,556086","-46,666379", 009/SIURB/2025,Andamento,Projetos - Serviços
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Passagem Subterrânea - Paulista - Rebouças,"-23,556000","-46,665733", 009/SIURB/2025,Andamento,Projetos - Serviços
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Passagem Tom Jobim - Aeroporto-Santana,"-23,539340","-46,633735", 009/SIURB/2025,Andamento,Projetos - Serviços
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Passagem Tom Jobim - Santana-Aeroporto,"-23,539336","-46,633770", 009/SIURB/2025,Andamento,Projetos - Serviços
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Ponte Anhembi,"-23,519158","-46,640778",092/SIURB/2020,Concluído,Projetos - Serviços
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Ponte Anhembi,"-23,519158","-46,640778",193/SIURB/2023,Andamento,Obras
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Ponte da Avenida Santos Dumont,"-23,524358","-46,631044",093/SIURB/2020,Concluído,Projetos - Serviços
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Ponte da Avenida Santos Dumont,"-23,524358","-46,631044",206/SIURB/2023,Andamento,Obras
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Ponte das Bandeiras,"-23,518746","-46,630023",048/SIURB/2019,Concluído,Projetos - Serviços
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Ponte Estaiada (Ponte Governador Orestes Quércia),"-23,519981","-46,636635",092/SIURB/2020,Concluído,Projetos - Serviços
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Ponte Estaiada (Ponte Governador Orestes Quércia),"-23,519981","-46,636635",193/SIURB/2023,Andamento,Obras
