Programas,Empreendimentos,Id_Empreendimento,Latitude,Longitude,Subprefeitura,Contagem de Andamento_Concluido
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Washington Luiz,156,"-23,643516","-46,672499",Santo Amaro,3
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Trinta e Um de Março (Viaduto Therezinha Zerbini),212,"-23,553962","-46,626370",SÉ,1
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Sumaré,204,"-23,550841","-46,677569",Lapa,2
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto São Carlos,165,"-23,567131","-46,603886",SÉ,2
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Santo Amaro,245,"-23,608550","-46,676617",Pinheiros,2
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Santa Efigênia,244,"-23,542767","-46,635463",SÉ,2
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Rodovia Imigrantes,176,"-23,636578","-46,630262",Ipiranga,1
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto República da Armênia,138,"-23,596435","-46,691323",Pinheiros,1
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Raimundo Pereira de Magalhães,161,"-23,487534","-46,726861",Pirituba / Jaraguá,1
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Presidente João Goulart (Minhocão),233,"-23,548133","-46,647481",SÉ,1
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Pires do Rio,251,"-23,542047","-46,580568",Mooca,1
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Pedro de Toledo,144,"-23,598078","-46,646677",Vila Mariana,2
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Paraíso,155,"-23,573385","-46,641044",Vila Mariana,2
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Pacheco Chaves,154,"-23,581573","-46,596183",Vila Prudente,3
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Pacaembu,247,"-23,526181","-46,660649",SÉ,2
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Nove de Julho,250,"-23,549675","-46,642321",SÉ,3
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Naor Guelfi,150,"-23,549766","-46,643077",SÉ,2
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto na Avenida Olavo Fontoura sobre a Avenida Assis Chateaubriand,171,"-23,516034","-46,651164",Casa Verde,2
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Ministro Aliomar Baleeiro,178,"-23,629294","-46,629770",Ipiranga,2
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Miguel Mofarrej,118,"-23,524923","-46,741130",Lapa,3
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Martinho Prado,239,"-23,551220","-46,645774",SÉ,2
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Marginal Pinheiros,104,"-23,548641","-46,728337",Pinheiros,2
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Major Quedinho,149,"-23,549766","-46,643077",SÉ,1
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto Ladeira do Xisto,159,"-23,536837","-46,453364",Itaquera,1
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto José Colassuonno,166,"-23,587820","-46,597410",Ipiranga,2
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto João Julião C. Aguiar,143,"-23,617521","-46,661738",Vila Mariana,2
MANUTENÇÃO DE OBRAS DE ARTE ESPECIAIS,Viaduto João Beiçola,172,"-23,714683","-46,690927",Capela do Socorro,1
