Id_Empreendimento,Andamento_Concluido,Nr_Contrato,Tipo_Contrato_Dash,Execucao_Data_Início,Execucao_Data_Fim,Valor_Atual
0,Andamento,026/SPOBRAS/2025,Projetos - Serviços,2025-05-28 00:00:00,2026-05-28 00:00:00,"R$ 64899,00"
0,Andamento,ARP-001/2023,Projetos - Serviços,2024-01-17 00:00:00,2025-01-17 00:00:00,"R$ 10300975,19"
0,Andamento,ARP-002/2023,Projetos - Serviços,2023-12-21 00:00:00,2024-12-21 00:00:00,"R$ 28897424,12"
0,Concluído,002/SMC-BMA/2007,Obras,2007-09-03 00:00:00,2010-10-03 00:00:00,"R$ 13195573,20"
0,Concluído,008/SIURB/2016,Projetos - Serviços,2016-07-21 00:00:00,2017-08-09 00:00:00,"R$ 86592,41"
0,Concluído,013/SIURB/2015,Obras,2015-04-01 00:00:00,2016-12-15 00:00:00,"R$ 101873005,39"
0,Concluído,015/SIURB/2016,Projetos - Serviços,2016-07-21 00:00:00,2016-10-18 00:00:00,"R$ 70463,26"
0,Concluído,015/SMDT/2018,Projetos - Serviços,2018-11-12 00:00:00,2019-03-08 00:00:00,"R$ 246423,73"
0,Concluído,039/SIURB/2023,Obras,,,"R$ 0,01"
0,Concluído,041/SIURB/2016,Obras,2016-09-15 00:00:00,2017-03-13 00:00:00,"R$ 2929160,63"
0,Concluído,042/SIURB/2016,Obras,2016-09-15 00:00:00,2017-03-13 00:00:00,"R$ 3264306,04"
0,Concluído,043/SIURB/2016,Obras,2016-09-15 00:00:00,2017-03-13 00:00:00,"R$ 3946740,14"
0,Concluído,044/SIURB/2016,Obras,2016-09-15 00:00:00,2017-03-13 00:00:00,"R$ 325521,16"
0,Concluído,047/SIURB/2012,Obras,2012-12-03 00:00:00,2017-01-01 00:00:00,"R$ 178518778,44"
0,Concluído,047/SIURB/2013,Obras,2013-08-15 00:00:00,2018-02-28 00:00:00,"R$ 116274217,64"
0,Concluído,048/SIURB/2013,Obras,2013-08-15 00:00:00,2016-07-31 00:00:00,"R$ 47870597,57"
0,Concluído,049/SIURB/2013,Obras,2013-08-15 00:00:00,2016-06-30 00:00:00,"R$ 46028062,44"
0,Concluído,052/SIURB/2013,Obras,2013-08-15 00:00:00,2016-08-15 00:00:00,"R$ 306340579,67"
0,Concluído,053/SIURB/2013,Obras,2013-08-15 00:00:00,2016-07-15 00:00:00,"R$ 154714172,84"
0,Concluído,058/SIURB/2016,Obras,2016-10-14 00:00:00,2016-12-14 00:00:00,"R$ 5102475,88"
0,Concluído,068/SIURB/2014,Obras,2014-06-11 00:00:00,2015-11-28 00:00:00,"R$ 37334452,66"
0,Concluído,071/SIURB/NMPME/2016,Obras,2016-07-15 00:00:00,2016-12-31 00:00:00,"R$ 1329713,87"
0,Concluído,075/SIURB/NMPME/2016,Obras,2016-07-15 00:00:00,2016-12-31 00:00:00,"R$ 736335,90"
0,Concluído,093/SIURB/NMPME/2016,Obras,2016-09-01 00:00:00,2016-11-29 00:00:00,"R$ 198671,66"
0,Concluído,151/SIURB/2010,Obras,2010-09-02 00:00:00,2013-02-28 00:00:00,"R$ 55066817,72"
0,Iniciar,018/SPOBRAS/2024,Obras,,,"R$ 6957645,45"
0,Iniciar,020/SPOBRAS/2024,Obras,,,"R$ 8020149,76"
0,Iniciar,022/SPOBRAS/2024,Obras,,,"R$ 8115565,13"
13,Concluído,003/SMC-G/2012,Obras,2012-04-23 00:00:00,2018-10-24 00:00:00,"R$ 21653440,53"
13,Concluído,037/SMC-G/2019,Obras,2019-10-14 00:00:00,2020-12-10 00:00:00,"R$ 2914845,42"
15,Concluído,046/SIURB/2012,Projetos - Serviços,2012-05-25 00:00:00,2017-05-25 00:00:00,"R$ 18668598,30"
15,Concluído,051/SIURB/2016,Projetos - Serviços,2016-10-19 00:00:00,2018-03-28 00:00:00,"R$ 18381227,57"
15,Concluído,185/SIURB/2011,Obras,2012-12-10 00:00:00,2018-03-30 00:00:00,"R$ 404712068,10"
15,Concluído,NE Nº 51.009/2016,Projetos - Serviços,2016-04-29 00:00:00,2016-08-26 00:00:00,"R$ 481856,67"
15,Concluído,NE nº 67.921/2018,Projetos - Serviços,2018-07-10 00:00:00,2018-08-08 00:00:00,"R$ 13100,13"
15,Concluído,NE Nº 83.267/2016,Projetos - Serviços,2016-08-22 00:00:00,2016-12-19 00:00:00,"R$ 197400,77"
15,Concluído,NE Nº 83.853/2017,Projetos - Serviços,2017-09-18 00:00:00,2018-01-15 00:00:00,"R$ 245121,90"
15,Concluído,NE Nº 83.873/2017,Projetos - Serviços,2017-09-18 00:00:00,2017-01-15 00:00:00,"R$ 50876,71"
